volume year link notes
16.92 1872 https://gallica.bnf.fr/ark:/12148/bpt6k5686755w?rk=107296;4 
16.93 1872 https://gallica.bnf.fr/ark:/12148/bpt6k56867584?rk=21459;2 
16.94 1872 https://gallica.bnf.fr/ark:/12148/bpt6k5686759j?rk=128756;0 
16.95 1872 https://gallica.bnf.fr/ark:/12148/bpt6k56867606?rk=64378;0 
17 1873 https://gallica.bnf.fr/ark:/12148/bpt6k5728058x "NB: from 1873 they become one volume and number yearly"
18 1874 https://gallica.bnf.fr/ark:/12148/bpt6k5728285h 
19 1875 https://gallica.bnf.fr/ark:/12148/bpt6k57280904 
20 1876 https://gallica.bnf.fr/ark:/12148/bpt6k5729011t 
21 1877 https://gallica.bnf.fr/ark:/12148/bpt6k61397259 
22 1878 https://gallica.bnf.fr/ark:/12148/bpt6k6139741d 
23 1879 https://gallica.bnf.fr/ark:/12148/bpt6k6139751s 
24 1880 https://gallica.bnf.fr/ark:/12148/bpt6k5690643r 
25 1881 https://gallica.bnf.fr/ark:/12148/bpt6k5693613j 
26 1882 https://gallica.bnf.fr/ark:/12148/bpt6k5728154m 
27 1883 https://gallica.bnf.fr/ark:/12148/bpt6k5730256k 
28 1884 https://gallica.bnf.fr/ark:/12148/bpt6k5730266z 
29 1885 https://gallica.bnf.fr/ark:/12148/bpt6k5601359d 
30 1886 https://gallica.bnf.fr/ark:/12148/bpt6k5694838c 
31 1887 https://gallica.bnf.fr/ark:/12148/bpt6k5690640h 
32 1888 https://gallica.bnf.fr/ark:/12148/bpt6k56914901 
33 1889 https://gallica.bnf.fr/ark:/12148/bpt6k5696103c 
34 1890 https://gallica.bnf.fr/ark:/12148/bpt6k5696294j 
35 1891 https://gallica.bnf.fr/ark:/12148/bpt6k56906445 
36 1892 https://gallica.bnf.fr/ark:/12148/bpt6k5694317g 
37 1893 https://gallica.bnf.fr/ark:/12148/bpt6k5601043h 
38 1894 https://gallica.bnf.fr/ark:/12148/bpt6k56948495 
39 1895 https://gallica.bnf.fr/ark:/12148/bpt6k56885886 
40 1896 https://gallica.bnf.fr/ark:/12148/bpt6k5695134m 
41 1897 https://gallica.bnf.fr/ark:/12148/bpt6k56906497 
42 1898 https://gallica.bnf.fr/ark:/12148/bpt6k56907878 
43 1899 https://gallica.bnf.fr/ark:/12148/bpt6k56906927 
44 1900 https://gallica.bnf.fr/ark:/12148/bpt6k5690762f 
45 1901 https://gallica.bnf.fr/ark:/12148/bpt6k56887061 
46 1902 https://gallica.bnf.fr/ark:/12148/bpt6k5689316b 
47 1903 https://gallica.bnf.fr/ark:/12148/bpt6k5600157k 
48 1904 https://gallica.bnf.fr/ark:/12148/bpt6k56001654 
49 1905 https://gallica.bnf.fr/ark:/12148/bpt6k5794310t 
50 1906 https://gallica.bnf.fr/ark:/12148/bpt6k56905064 
51 1907 "Not available" 
52 1908 https://gallica.bnf.fr/ark:/12148/bpt6k56013817 
